First Name	Last Name	Gender	Belt	Membership Number	Age	Division	Weight Range	Total Points							
Brian	CHOI	Male	Black	999899067	Senior	World-Class-Heavy	Over-87kg	232
Nicholas	CARLO	Male	Black	999797522	Senior	World-Class-Heavy	Over-87kg	219
BRYAN	DAVIS	Male	Black	999773838	Senior	World-Class-Heavy	Over-87kg	170
MOCTAR 	FALL	Male	Black	999910758	Senior	World-Class-Heavy	Over-87kg	135
Malik-L	Jenkins	Male	Black	999924164	Senior	World-Class-Heavy	Over-87kg	105
BRIAN 	LEE	Male	Black	999749161	Senior	World-Class-Heavy	Over-87kg	100
Kimoni	DAVIS	Male	Black	999922005	Senior	World-Class-Heavy	Over-87kg	90
Samuel	MCMURRAY	Male	Black	999927649	Senior	World-Class-Heavy	Over-87kg	87
Ali	FARJADRAD	Male	Black	999917703	Senior	World-Class-Heavy	Over-87kg	68
Nicholas	LUFT	Male	Black	999925459	Senior	World-Class-Heavy	Over-87kg	64
Jon	VIGIL	Male	Black	999715743	Senior	World-Class-Heavy	Over-87kg	60
Page	BATES	Male	Black	999718962	Senior	World-Class-Heavy	Over-87kg	60
KIERAN	HERNANDEZ	Male	Black	999904416	Senior	World-Class-Heavy	Over-87kg	60
Rez 	Chowdhury 	Male	Black	999917982	Senior	World-Class-Heavy	Over-87kg	60
ANTHONY	CATENA	Male	Black	999700836	Senior	World-Class-Heavy	Over-87kg	59
CAMERON	KERNS	Male	Black	999796811	Senior	World-Class-Heavy	Over-87kg	59
NIHAAL	NAYAR	Male	Black	999875029	Senior	World-Class-Heavy	Over-87kg	56
BLAKE	LABERGE	Male	Black	999913969	Senior	World-Class-Heavy	Over-87kg	56
Hayk	SHAHBAZYAN	Male	Black	999878890	Senior	World-Class-Heavy	Over-87kg	45
Isaac	Gatica	Male	Black	999922020	Senior	World-Class-Heavy	Over-87kg	45
Nakul	Panwar	Male	Black	999927619	Senior	World-Class-Heavy	Over-87kg	45
ROBERT	CHURCH	Male	Black	999857143	Senior	World-Class-Heavy	Over-87kg	42
WILLIAM	DANG	Male	Black	999903055	Senior	World-Class-Heavy	Over-87kg	42
Kazu	Denny	Male	Black	999927126	Senior	World-Class-Heavy	Over-87kg	42
Samuel	Weatherby	Male	Black	999795409	Senior	World-Class-Heavy	Over-87kg	30
BROCK 	IKEDA	Male	BLACK	999852581	Senior	World-Class-Heavy	Over-87kg	30
NATHAN	SISK	Male	Black	999927361	Senior	World-Class-Heavy	Over-87kg	30
Aiden	BEVEL	Male	Black	999795181	Senior	World-Class-Light	68.1kg-74kg	418
Connor	ORILLE	Male	Black	999847770	Senior	World-Class-Light	68.1kg-74kg	239
DANIEL	ALEXANDER	Male	Black	999823962	Senior	World-Class-Light	68.1kg-74kg	200
Timothy	SALAS	Male	Black	999909715	Senior	World-Class-Light	68.1kg-74kg	173
Fergus	CURRAN	Male	Black	999839950	Senior	World-Class-Light	68.1kg-74kg	172
Sheldon	WILCOX	Male	Black	999866768	Senior	World-Class-Light	68.1kg-74kg	169
Michael	SCHREIBER	Male	Black	999915435	Senior	World-Class-Light	68.1kg-74kg	169
Noah	SHANAFELT	Male	Black	999887839	Senior	World-Class-Light	68.1kg-74kg	150
LUKE	BUENAVENTURA	Male	Black	999900460	Senior	World-Class-Light	68.1kg-74kg	140
Chan	PARK	Male	Black	999849627	Senior	World-Class-Light	68.1kg-74kg	119
Cristian	MONTESDEOCA	Male	Black	999912738	Senior	World-Class-Light	68.1kg-74kg	119
Adrian	PELAEZ	Male	Black	999797047	Senior	World-Class-Light	68.1kg-74kg	113
Davyd	CABRERA	Male	Black	999713625	Senior	World-Class-Light	68.1kg-74kg	109
Emil	Mollov	Male	Black	999927041	Senior	World-Class-Light	68.1kg-74kg	100
MATTHEW	POLAND	Male	Black	999870298	Senior	World-Class-Light	68.1kg-74kg	94
Celso	CHUA	Male	Black	999927171	Senior	World-Class-Light	68.1kg-74kg	90
Tyler	Skopak	Male	Black	999923093	Senior	World-Class-Light	68.1kg-74kg	89
James	CHUA	Male	Black	999797147	Senior	World-Class-Light	68.1kg-74kg	85
JADEN 	BAXTER	Male	Black	999796698	Senior	World-Class-Light	68.1kg-74kg	79
Tyler	Mckey	Male	Black	999922630	Senior	World-Class-Light	68.1kg-74kg	79
RISHI	DASARI	Male	Black	999891542	Senior	World-Class-Light	68.1kg-74kg	75
Emilio	GONZALEZ	Male	Black	999852086	Senior	World-Class-Light	68.1kg-74kg	68
Cameron	MASSAY	Male	Black	999894683	Senior	World-Class-Light	68.1kg-74kg	64
Christopher	SOUTHALL	Male	Black	999920267	Senior	World-Class-Light	68.1kg-74kg	64
ADAN 	RIVAS	Male	Black	999718444	Senior	World-Class-Light	68.1kg-74kg	60
THOMAS	SMITH-IV	Male	Black	999827263	Senior	World-Class-Light	68.1kg-74kg	60
BENJAMIN	 CHAR	Male	Black	999846100	Senior	World-Class-Light	68.1kg-74kg	60
PETER	SOKOLENKO	Male	Black	999896181	Senior	World-Class-Light	68.1kg-74kg	60
ANDREI	LUPASCU	Male	Black	999860201	Senior	World-Class-Light	68.1kg-74kg	59
Ahmed	Alharahsheh 	Male	Black	999921669	Senior	World-Class-Light	68.1kg-74kg	59
JUSTIN	PARK	Male	Black	999875344	Senior	World-Class-Light	68.1kg-74kg	56
Dale 	Irving	Male	Black	999927665	Senior	World-Class-Light	68.1kg-74kg	56
Jose-Luis	TAPIAHERNANDEZ	Male	Black	999854165	Senior	World-Class-Light	68.1kg-74kg	51
Emerson	MONTLOUIS	Male	Black	999927027	Senior	World-Class-Light	68.1kg-74kg	51
Gabriel	JEAN	Male	Black	999719492	Senior	World-Class-Light	68.1kg-74kg	48
Davin	JOHNSON	Male	Black	999918060	Senior	World-Class-Light	68.1kg-74kg	48
Pawan	KUMAR	Male	Black	999921042	Senior	World-Class-Light	68.1kg-74kg	48
RYAN	MOHAMADI	Male	Black	999899091	Senior	World-Class-Light	68.1kg-74kg	45
Eric	Garcia	Male	Black	999925877	Senior	World-Class-Light	68.1kg-74kg	45
ERIC	GARCES	Male	Black	999908997	Senior	World-Class-Light	68.1kg-74kg	44
EESHAN 	BHAT	Male	Black	999777215	Senior	World-Class-Light	68.1kg-74kg	42
Ayush	Zenith	Male	Black	999922550	Senior	World-Class-Light	68.1kg-74kg	42
Alex	Paltzer	Male	Black	999923451	Senior	World-Class-Light	68.1kg-74kg	42
Bradley	 Gorham	Male	Black	999925970	Senior	World-Class-Light	68.1kg-74kg	34
Everett	Bentley	Male	Black	999926882	Senior	World-Class-Light	68.1kg-74kg	34
Isaac	Hoffer	Male	Black	999922850	Senior	World-Class-Light	68.1kg-74kg	32
David	Kwon	Male	Black	999923470	Senior	World-Class-Light	68.1kg-74kg	32
Damien	Garrett	Male	Black	999926912	Senior	World-Class-Light	68.1kg-74kg	32
Brian	Cheong	Male	Black	999927069	Senior	World-Class-Light	68.1kg-74kg	32
Aaron	Kim	    Male	Black	999927388	Senior	World-Class-Light	68.1kg-74kg	32
Edward	Park	Male	Black	999927681	Senior	World-Class-Light	68.1kg-74kg	32
NOAH	AVROYA	Male	Black	999834668	Senior	World-Class-Light	68.1kg-74kg	30
Luke	ASBURY	Male	Black	999900525	Senior	World-Class-Light	68.1kg-74kg	30
PETER	TRAN	Male	Black	999901826	Senior	World-Class-Light	68.1kg-74kg	30
Ranger	Garrison	Male	Black	999926567	Senior	World-Class-Light	68.1kg-74kg	30
Matias	TEILLET	Male	Black	999852952	Senior	World-Class-Middle	80.1kg-87kg	167.5
Michael-C	RODRIGUEZ	Male	Black	999743910	Senior	World-Class-Middle	80.1kg-87kg	150
TYLER	SEIBERT	Male	Black	999900148	Senior	World-Class-Middle	80.1kg-87kg	116
Jonathan Dye	Male	Black	999925464	Senior	World-Class-Middle	80.1kg-87kg	105
WILLIAM	SMITH	Male	Black	999858272	Senior	World-Class-Middle	80.1kg-87kg	100
Kevin	HUYNH	Male	Black	999702922	Senior	World-Class-Middle	80.1kg-87kg	94
Abraham	LEE 	Male	Black	999925310	Senior	World-Class-Middle	80.1kg-87kg	90
Hanssel	LLANOS	Male	Black	999716956	Senior	World-Class-Middle	80.1kg-87kg	85
Jonathan    HENRY	Male	Black	999918103	Senior	World-Class-Middle	80.1kg-87kg	85
NIHAAL	NAYAR	Male	Black	999875029	Senior	World-Class-Middle	80.1kg-87kg	70
Kenneth	Addo	Male	Black	999923931	Senior	World-Class-Middle	80.1kg-87kg	56
SERGIO	CASTILLO	Male	Black	999870647	Senior	World-Class-Middle	80.1kg-87kg	45
Ayan	Goel	Male	Black	999923138	Senior	World-Class-Middle	80.1kg-87kg	45
Kai	Vanderlip	Male	Black	999927459	Senior	World-Class-Middle	80.1kg-87kg	42
Elias	Klemp	Male	Black	999927505	Senior	World-Class-Middle	80.1kg-87kg	42
TUCKER	HAYDON	Male	Black	999915558	Senior	World-Class-Middle	80.1kg-87kg	39.5
Stavros	Moustakeas	Male	Black	999923066	Senior	World-Class-Middle	80.1kg-87kg	30
CJ	NICKOLAS	Male	Black	999732049	Senior	World-Class-Welter	74.1kg-80kg	363
Devin	CASSELL	Male	Black	999851965	Senior	World-Class-Welter	74.1kg-80kg	272.5
Abou	SOW	Male	Black	999881894	Senior	World-Class-Welter	74.1kg-80kg	166
Nicolas	CASTILLO	Male	Black	999922114	Senior	World-Class-Welter	74.1kg-80kg	150
Fernando	Lopez-Zacapala	Male	Black	999924135	Senior	World-Class-Welter	74.1kg-80kg	120
